BRANCH,TIME
SYD,11
SEL,9
TYO,9
CTU,8
DLC,8
HGH,8
HKG,8
MNL,8
NGB,8
NKG,8
PEN,8
SHA,8
SIA,8
SIN,8
SZV,8
SZX,8
TAO,8
TPE,8
TSN,8
WUH,8
XMN,8
ZIX,8
CAN,8
CKG,8
BJS,8
JKT,7
PNH,7
SGN,7
BKK,7
DAC,6
DEL,5
CMB,5
LHE,5
DXB,4
MCT,4
AUH,4
DOH,3
HEL,2
IST,3
JED,3
KWI,3
VNO,2
AMM,2
BUH,2
ATH,2
BAH,3
BEY,2
FRA,1
JNB,2
LUG,1
MAD,1
MIL,1
OSL,1
PRG,1
STO,1
VIE,1
WAW,1
BRU,1
BUD,1
CAI,2
CDG,1
AMS,1
CPH,1
DUB,0
LHR,0
LIS,0
MVD,-3
SAO,-2
BUE,-3
SCL,-3
SDQ,-4
YYZ,-5
LIM,-5
MEX,-6
PTY,-5
BOG,-5
SJO,-6
GUA,-6
CHQ,-8
